frame_no,ip,domain
1,3.229.68.101,us-telekardia-production.alivecor.com
1,54.83.45.155,us-telekardia-production.alivecor.com
2,3.229.68.101,us-kardia-production.alivecor.com
2,54.83.45.155,us-kardia-production.alivecor.com
3,3.229.68.101,us-telekardia-production.alivecor.com
3,54.83.45.155,us-telekardia-production.alivecor.com
4,3.229.68.101,us-kardia-production.alivecor.com
4,54.83.45.155,us-kardia-production.alivecor.com
219,35.186.241.51,api.mixpanel.com
219,35.190.25.25,api.mixpanel.com
219,130.211.34.183,api.mixpanel.com
220,35.186.241.51,api.mixpanel.com
220,35.190.25.25,api.mixpanel.com
220,130.211.34.183,api.mixpanel.com
