frame_no,ip,domain
39,142.250.189.234,scone-pa.googleapis.com
39,142.250.189.202,scone-pa.googleapis.com
39,142.251.46.202,scone-pa.googleapis.com
39,142.250.191.74,scone-pa.googleapis.com
39,142.250.189.170,scone-pa.googleapis.com
39,142.250.191.42,scone-pa.googleapis.com
39,142.251.46.234,scone-pa.googleapis.com
39,142.251.32.42,scone-pa.googleapis.com
43,34.102.155.183,fsc.fitbit.com
47,142.250.189.234,scone-pa.googleapis.com
47,142.250.189.202,scone-pa.googleapis.com
47,142.251.46.202,scone-pa.googleapis.com
47,142.250.191.74,scone-pa.googleapis.com
47,142.250.189.170,scone-pa.googleapis.com
47,142.250.191.42,scone-pa.googleapis.com
47,142.251.46.234,scone-pa.googleapis.com
47,142.251.32.42,scone-pa.googleapis.com
61,34.102.155.183,fsc.fitbit.com
