frame_no,ip,domain
22,172.217.12.106,scone-pa.googleapis.com
22,142.251.46.234,scone-pa.googleapis.com
22,142.251.46.170,scone-pa.googleapis.com
22,142.250.189.202,scone-pa.googleapis.com
22,142.250.191.74,scone-pa.googleapis.com
22,142.250.189.170,scone-pa.googleapis.com
22,142.250.189.234,scone-pa.googleapis.com
22,142.251.46.202,scone-pa.googleapis.com
22,142.251.214.138,scone-pa.googleapis.com
22,142.250.191.42,scone-pa.googleapis.com
22,142.251.32.42,scone-pa.googleapis.com
29,172.217.12.106,scone-pa.googleapis.com
29,142.251.46.234,scone-pa.googleapis.com
29,142.251.46.170,scone-pa.googleapis.com
29,142.250.189.202,scone-pa.googleapis.com
29,142.250.191.74,scone-pa.googleapis.com
29,142.250.189.170,scone-pa.googleapis.com
29,142.250.189.234,scone-pa.googleapis.com
29,142.251.46.202,scone-pa.googleapis.com
29,142.251.214.138,scone-pa.googleapis.com
29,142.250.191.42,scone-pa.googleapis.com
29,142.251.32.42,scone-pa.googleapis.com
156,34.102.155.183,fsc.fitbit.com
175,34.102.155.183,fsc.fitbit.com
