frame_no,ip,domain
1,3.140.39.80,ws-us2.pusher.com
1,3.16.93.113,ws-us2.pusher.com
1,3.16.62.71,ws-us2.pusher.com
1,13.59.212.206,ws-us2.pusher.com
1,3.20.21.231,ws-us2.pusher.com
1,18.216.126.12,ws-us2.pusher.com
1,3.21.144.98,ws-us2.pusher.com
1,3.136.24.113,ws-us2.pusher.com
19,20.109.35.196,mymedicalguardian.com
20,20.109.35.196,mymedicalguardian.com
