frame_no,ip,domain
1,20.109.35.196,mymedicalguardian.com
2,20.109.35.196,mymedicalguardian.com
25,18.216.126.12,ws-us2.pusher.com
25,3.18.79.247,ws-us2.pusher.com
25,52.14.60.18,ws-us2.pusher.com
25,3.21.144.98,ws-us2.pusher.com
25,3.16.62.71,ws-us2.pusher.com
25,3.140.39.80,ws-us2.pusher.com
25,52.14.98.81,ws-us2.pusher.com
25,3.136.24.113,ws-us2.pusher.com
27,18.216.126.12,ws-us2.pusher.com
27,3.18.79.247,ws-us2.pusher.com
27,52.14.60.18,ws-us2.pusher.com
27,3.21.144.98,ws-us2.pusher.com
27,3.16.62.71,ws-us2.pusher.com
27,3.140.39.80,ws-us2.pusher.com
27,52.14.98.81,ws-us2.pusher.com
27,3.136.24.113,ws-us2.pusher.com
51,142.251.46.174,clients4.google.com
55,142.251.46.174,clients4.google.com
