frame_no,ip,domain
1,13.59.212.206,ws-us2.pusher.com
1,3.18.79.247,ws-us2.pusher.com
1,3.20.21.231,ws-us2.pusher.com
1,3.21.144.98,ws-us2.pusher.com
1,3.16.62.71,ws-us2.pusher.com
1,18.216.126.12,ws-us2.pusher.com
1,3.140.39.80,ws-us2.pusher.com
1,52.14.98.81,ws-us2.pusher.com
2,13.59.212.206,ws-us2.pusher.com
2,3.18.79.247,ws-us2.pusher.com
2,3.20.21.231,ws-us2.pusher.com
2,3.21.144.98,ws-us2.pusher.com
2,3.16.62.71,ws-us2.pusher.com
2,18.216.126.12,ws-us2.pusher.com
2,3.140.39.80,ws-us2.pusher.com
2,52.14.98.81,ws-us2.pusher.com
25,20.109.35.196,mymedicalguardian.com
26,20.109.35.196,mymedicalguardian.com
77,142.251.46.174,clients4.google.com
88,142.251.46.174,clients4.google.com
